商品コード,商品名,カテゴリ名,販売価格,更新日,在庫数,在庫インポートフラグ,在庫扱いの種別
000739,上州ステビア　豚肩ローススライス,上州ステビア豚,557,2018/12/15 02:20:11,999998744,インポート可,在庫がないと注文できない
000740,上州ステビア　豚バラスライス,上州ステビア豚,462,2018/12/15 02:20:11,999998961,インポート可,在庫がないと注文できない
000741,上州ステビア　豚ももスライス,上州ステビア豚,441,2018/12/15 02:20:11,999999754,インポート可,在庫がないと注文できない
000742,上州ステビア　豚小間切れ,上州ステビア豚,399,2018/12/15 02:20:11,999999592,インポート可,在庫がないと注文できない
000743,国産　豚小間切れ,豚肉,326,2018/12/15 02:20:11,999999621,インポート可,在庫がないと注文できない
000744,国産　豚ミンチ,豚肉,252,2018/12/15 02:20:11,999999200,インポート可,在庫がないと注文できない
000745,えばらハーブ豚未来セット,豚肉,3413,2018/12/15 02:20:11,999999932,インポート可,在庫がないと注文できない
000746,えばらハーブ未来豚ロース味噌漬,豚肉,672,2018/12/15 02:20:11,999999909,インポート可,在庫がないと注文できない
000747,豚ロースXO醤タレ漬,豚肉,420,2018/12/15 02:20:11,999998895,インポート可,在庫がないと注文できない
000748,豚ロース生姜焼,豚肉,399,2018/12/15 02:20:11,999999799,インポート可,在庫がないと注文できない
000749,豚肉西京味噌漬,豚肉,347,2018/12/15 02:20:11,999999646,インポート可,在庫がないと注文できない
000750,豚肉西京味噌漬（セット）,豚肉,624,2018/12/15 02:20:11,999999686,インポート可,在庫がないと注文できない
000751,魚沼健康豚スパイシーポーク,豚肉,609,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000752,魚沼健康豚ねぎ味噌漬,豚肉,473,2018/12/15 02:20:11,999999856,インポート可,在庫がないと注文できない
000753,魚沼健康豚チーズ入りプチ生ハンバーグ,豚肉,336,2018/12/15 02:20:11,999999689,インポート可,在庫がないと注文できない
000754,ポークソーセージ,ﾊﾑ・ﾍﾞｰｺﾝ・ｿｰｾｰｼﾞ,431,2018/12/15 02:20:11,999999203,インポート可,在庫がないと注文できない
000755,トッピング生ハム,ﾊﾑ・ﾍﾞｰｺﾝ・ｿｰｾｰｼﾞ,427,2018/12/15 02:20:11,999999757,インポート可,在庫がないと注文できない
000756,生ベーコン短冊カット,ﾊﾑ・ﾍﾞｰｺﾝ・ｿｰｾｰｼﾞ,546,2019/04/18 02:20:00,999999584,インポート可,在庫がないと注文できない
000757,無添加　ベーコン,ﾊﾑ・ﾍﾞｰｺﾝ・ｿｰｾｰｼﾞ,426,2019/04/18 02:20:00,999999733,インポート可,在庫がないと注文できない
000758,無添加　ポークソーセージ,ﾊﾑ・ﾍﾞｰｺﾝ・ｿｰｾｰｼﾞ,546,2019/04/18 02:20:00,999999811,インポート可,在庫がないと注文できない
000759,魚沼産健康豚生ウインナー,ﾊﾑ・ﾍﾞｰｺﾝ・ｿｰｾｰｼﾞ,389,2018/12/15 02:20:11,999999771,インポート可,在庫がないと注文できない
